"parameter","metafor_value"
"icc_base_tau2",0.0166805264908802
"icc_base_I2",0.561459570454311
"icc_base_Q",528.394090873193
"icc_base_mu",0.289156417566868
"icc_base_se_mu",0.0139849979907544
"icc_base_ci_lo",0.261746325181125
"icc_base_ci_hi",0.316566509952612
"icc_mod_tau2",0.0164332568501553
"icc_mod_I2",0.552164672022182
"icc_mod_Q",508.021547769579
"icc_mod_beta_intcp",0.302322501801702
"icc_mod_se_intcp",0.0177856426309154
"icc_mod_ci_lo_intcp",0.267228635795185
"icc_mod_ci_hi_intcp",0.337416367808219
"icc_mod_beta_linear",-0.0176134734263297
"icc_mod_se_linear",0.0282197549166484
"icc_mod_ci_lo_linear",-0.0732954815681201
"icc_mod_ci_hi_linear",0.0380685347154607
"icc_mod_beta_network",-0.1003192243823
"icc_mod_se_network",0.0546611685887514
"icc_mod_ci_lo_network",-0.208174294115844
"icc_mod_ci_hi_network",0.00753584535124399
"icc_mod_QM",1.71619576979439
"icc_mod_QM_p",0.182660492717998
"icc_dropmixed_base_tau2",0.0194489551823231
"icc_dropmixed_base_mu",0.295605912076235
"icc_dropmixed_mod_tau2",0.0182285596619892
"icc_dropmixed_mod_beta_intcp",0.344302184775667
"icc_dropmixed_mod_beta_linear",-0.0594812630580758
"icc_dropmixed_mod_beta_network",-0.141340664505862
"icc_egger_z",-2.06309041172049
"icc_egger_p",0.0405238993827539
