"parameter","metafor_value"
"base_tau2",0.0381900487861168
"base_I2",0.92153449684383
"base_Q",104.254642721865
"base_mu",0.0950995401898041
"base_se_mu",0.07425660069968
"base_ci_lo",-0.0504407227959405
"base_ci_hi",0.240639803175549
"base_tau2_pl_lo",0.0138224457430878
"base_tau2_pl_hi",0.156077530090761
"mod_tau2",0
"mod_I2",0
"mod_Q",1.89931414940777
"mod_beta_intcp",0.0224283077776518
"mod_se_intcp",0.0278145894215151
"mod_ci_lo_intcp",-0.049071370554977
"mod_ci_hi_intcp",0.0939279861102805
"mod_beta_linear",-0.158333076197688
"mod_se_linear",0.0345656671052004
"mod_ci_lo_linear",-0.247186952194968
"mod_ci_hi_linear",-0.0694792002004085
"mod_beta_network",0.282203957964126
"mod_se_network",0.0331159175492836
"mod_ci_lo_network",0.197076781841508
"mod_ci_hi_network",0.367331134086745
"mod_QM",134.726696745212
"mod_QM_p",4.47974711379671e-05
"mod_tau2_pl_lo",0
"mod_tau2_pl_hi",0.00640770518827517
"egger_z",0.0249897054665507
"egger_p",0.980873563930226
