"parameter","metafor_value"
"twolevel_base_tau2",0.124573545841003
"twolevel_base_mu",0.298745379487392
"threelevel_base_sigma2_between",0.0798313102216715
"threelevel_base_sigma2_within",0.0441072775574536
"threelevel_base_mu",0.298243827643265
"threelevel_base_se_mu",0.0298449620417358
"threelevel_base_ci_lo",0.239748776921498
"threelevel_base_ci_hi",0.356738878365032
"threelevel_base_Q",826.111725489318
"threelevel_base_I2_total",0.566730866516522
"threelevel_base_I2_within",0.201688239939996
"threelevel_base_I2_between",0.365042626576526
"threelevel_mod_sigma2_between",0.0736517112438146
"threelevel_mod_sigma2_within",0.0388886783413849
"threelevel_mod_beta_intcp",0.00208790552197421
"threelevel_mod_se_intcp",0.0727305817194043
"threelevel_mod_beta_linear",0.305091524584891
"threelevel_mod_se_linear",0.0779489365511151
"threelevel_mod_beta_network",0.386033132816172
"threelevel_mod_se_network",0.0836032192082315
"threelevel_mod_QM",21.5134553898617
"threelevel_mod_QMp",2.13016143949513e-05
"cr2_se_intcp",0.0782866353387381
"cr2_se_linear",0.0877762370389272
"cr2_se_network",0.0940048076979643
"cr2_df_intcp",26.6597882294906
"cr2_df_linear",31.8969078533061
"cr2_df_network",41.3591885212433
"cr2_t_intcp",0.0266700122305686
"cr2_t_linear",3.47578723897207
"cr2_t_network",4.10652542427925
"cr2_p_intcp",0.978921570212214
"cr2_p_linear",0.0014910490672363
"cr2_p_network",0.000184864680205648
"twolevel_mod_tau2",0.112124260373032
"twolevel_mod_beta_intcp",-0.0228550314221052
"twolevel_mod_se_intcp",0.0758281193679165
"twolevel_mod_beta_linear",0.342948697411503
"twolevel_mod_se_linear",0.083648509033417
"twolevel_mod_beta_network",0.400333491043084
"twolevel_mod_se_network",0.0888222500585241
