"parameter","metafor_value"
"base_tau2",0.0350376588946311
"base_I2",0.822356687781337
"base_Q",46.894815012081
"base_mu",0.162421436498984
"base_se_mu",0.0681424519571922
"base_ci_lo",0.0288646848446369
"base_ci_hi",0.295978188153332
"base_tau2_pl_lo",0.0109292703402661
"base_tau2_pl_hi",0.135106923550282
"mod_tau2",0.0105469866611806
"mod_I2",0.575330073549184
"mod_Q",16.879681730791
"mod_beta_intcp",-0.161533325854692
"mod_se_intcp",0.103264649040727
"mod_ci_lo_intcp",-0.405715419308612
"mod_ci_hi_intcp",0.0826487675992274
"mod_beta_linear",0.342101272189985
"mod_se_linear",0.120604838635511
"mod_ci_lo_linear",0.0569161458930217
"mod_ci_hi_linear",0.627286398486947
"mod_beta_network",0.476561446523578
"mod_se_network",0.125842066450083
"mod_ci_lo_network",0.178992244325161
"mod_ci_hi_network",0.774130648721996
"mod_QM",7.20112413632916
"mod_QM_p",0.0200094544578379
"mod_tau2_pl_lo",0.000270877810278585
"mod_tau2_pl_hi",0.0689676870716584
"egger_z",-0.570758620755011
"egger_p",0.583835158869217
