study_id,effect_id,paradigm_family,dln_stage_code,metric,r_approx,n,yi,vi
S001,E0001,implicit_explicit_gap,dot,fisher_z(r),0.0923884454895525,255,0.09265266434989612,0.003968253968253968
S001,E0002,implicit_explicit_gap,dot,fisher_z(r),0.0632264674160785,291,0.06331092115964304,0.003472222222222222
S002,E0003,implicit_explicit_gap,dot,fisher_z(r),0.15262561309428674,183,0.15382757427070948,0.005555555555555556
S002,E0004,implicit_explicit_gap,dot,fisher_z(r),0.18260130263972063,152,0.18467240370008073,0.006711409395973154
S002,E0005,implicit_explicit_gap,dot,fisher_z(r),0.1499287691313655,122,0.15106756627899853,0.008403361344537815
S003,E0006,implicit_explicit_gap,dot,fisher_z(r),0.009622055492366333,148,0.00962235245817069,0.006896551724137931
S003,E0007,implicit_explicit_gap,dot,fisher_z(r),0.13694943401806403,80,0.13781536848860224,0.012987012987012988
S003,E0008,implicit_explicit_gap,dot,fisher_z(r),0.1232609928018437,355,0.12389099184478651,0.002840909090909091
S004,E0009,implicit_explicit_gap,dot,fisher_z(r),0.19554174225432963,124,0.19809281165469747,0.008264462809917356
S004,E0010,implicit_explicit_gap,dot,fisher_z(r),0.1336689163087984,263,0.13447366575074055,0.0038461538461538464
S004,E0011,implicit_explicit_gap,linear,fisher_z(r),0.394366424951351,192,0.4169601369362484,0.005291005291005291
S005,E0012,implicit_explicit_gap,linear,fisher_z(r),0.35991047242296303,392,0.3767830470264593,0.002570694087403599
S005,E0013,implicit_explicit_gap,linear,fisher_z(r),0.4199115045197107,281,0.44758457878833274,0.0035971223021582736
S005,E0014,implicit_explicit_gap,linear,fisher_z(r),0.35828591565854767,217,0.37491798734071474,0.004672897196261682
S006,E0015,implicit_explicit_gap,linear,fisher_z(r),0.41353476196418315,275,0.43986768675485033,0.003676470588235294
S006,E0016,implicit_explicit_gap,linear,fisher_z(r),0.4441330437090428,272,0.4773677361853953,0.0037174721189591076
S006,E0017,implicit_explicit_gap,linear,fisher_z(r),0.33870347532323436,172,0.35262726472748074,0.005917159763313609
S007,E0018,implicit_explicit_gap,linear,fisher_z(r),0.3837041516552765,313,0.4043961142730143,0.0032258064516129032
S007,E0019,implicit_explicit_gap,linear,fisher_z(r),0.3952710278500619,371,0.4180317914206578,0.002717391304347826
S007,E0020,implicit_explicit_gap,linear,fisher_z(r),0.34471137691812237,172,0.35942944742522764,0.005917159763313609
S008,E0021,implicit_explicit_gap,network,fisher_z(r),-0.05042446562784392,327,-0.05046726780960814,0.0030864197530864196
S008,E0022,implicit_explicit_gap,network,fisher_z(r),0.1374376430474233,99,0.13831294290766344,0.010416666666666666
S008,E0023,implicit_explicit_gap,network,fisher_z(r),-0.054483854625163586,84,-0.0545378624509475,0.012345679012345678
S009,E0024,implicit_explicit_gap,network,fisher_z(r),-0.02675046497857375,265,-0.02675684848459045,0.003816793893129771
S009,E0025,implicit_explicit_gap,network,fisher_z(r),0.05192624459452856,309,0.0519729904247683,0.0032679738562091504
S009,E0026,implicit_explicit_gap,network,fisher_z(r),0.19006682688665383,210,0.19240649982132876,0.004830917874396135
S010,E0027,implicit_explicit_gap,network,fisher_z(r),0.25265291955217056,163,0.25824460364021157,0.00625
S010,E0028,implicit_explicit_gap,network,fisher_z(r),0.016452687694859677,147,0.016454172467139892,0.006944444444444444
S010,E0029,implicit_explicit_gap,network,fisher_z(r),0.12155293044063097,283,0.1221569470379589,0.0035714285714285713
S011,E0030,implicit_explicit_gap,network,fisher_z(r),0.05803163044793182,190,0.05809690619128481,0.0053475935828877
S011,E0031,interoception_decision_quality,dot,fisher_z(r),0.05811471881692924,222,0.058180275723545824,0.0045662100456621
S011,E0032,interoception_decision_quality,dot,fisher_z(r),0.0702062188444254,395,0.07032190795601757,0.002551020408163265
S012,E0033,interoception_decision_quality,dot,fisher_z(r),0.11140173122040528,115,0.11186603814710054,0.008928571428571428
S012,E0034,interoception_decision_quality,dot,fisher_z(r),0.20947732324716467,330,0.21262461908819133,0.0030581039755351682
S012,E0035,interoception_decision_quality,dot,fisher_z(r),0.14805635016502303,134,0.1491526376168725,0.007633587786259542
S013,E0036,interoception_decision_quality,dot,fisher_z(r),0.04205272924122991,365,0.04207754470844272,0.0027624309392265192
S013,E0037,interoception_decision_quality,dot,fisher_z(r),0.1825139435154955,216,0.18458203275756607,0.004694835680751174
S013,E0038,interoception_decision_quality,dot,fisher_z(r),-0.02089475777261439,289,-0.020897799389803216,0.0034965034965034965
S014,E0039,interoception_decision_quality,dot,fisher_z(r),0.06113066363705136,277,0.061206982405216354,0.0036496350364963502
S014,E0040,interoception_decision_quality,dot,fisher_z(r),-0.08550791776892967,270,-0.08571723682519211,0.003745318352059925
S014,E0041,interoception_decision_quality,linear,fisher_z(r),-0.028459516469009086,294,-0.02846720374405172,0.003436426116838488
S015,E0042,interoception_decision_quality,linear,fisher_z(r),0.041824299837167934,186,0.04184871282493714,0.00546448087431694
