sample_id,citation,expt,sample,n,n_crit,topic,icc,n_iat,iat_type,ecc,n_expl,expl_type,iec
1,Ames et al. (2007),1,1,121,1,Drugs/tobacco,0.137,3,Attitude,0.418,3,Multiple,0.058
2,Amodio & Devine (2006),2,1,32,2,Race (Bl/Wh),0.156,2,Att/belief,0.333,1,Attitude,0.171
3,Amodio & Devine (2006),3,2,21,3,Race (Bl/Wh),0.325,2,Multiple,,,
4,Arcuri et al. (2008),1,1,52,1,Politics,0.642,1,Attitude,,,
5,Arcuri et al. (2008),2,2,37,1,Politics,0.414,1,Attitude,,,
6,Asendorpf et al. (2002),1,1,138,3,Personality,0.274,1,Self,0.260,3,Self,0.440
7,Ashburn-Nardo et al. (2003),1,1,77,1,Race (Bl/Wh),0.230,1,Attitude,0.152,7,Belief,0.400
8,Bain et al. (2004),1,1,138,2,Politics,0.462,1,Attitude,0.672,2,Belief,0.660
9,Banse (2007),1,1,132,1,Personality,0.370,1,Attitude,0.480,1,Attitude,0.490
10,Banse & Fischer (2002),1,1,94,1,Personality,0.219,2,Self,0.160,1,Self,0.150
11,Banse et al. (2002),1,1,96,2,Relationships,0.133,1,Attitude,0.166,1,Attitude,0.230
12,Bosson et al. (2000),1,1,83,6,Personality,0.161,1,Self,0.396,4,Self,0.220
13,Brochu & Morrison (2007),1,1,37,3,Other intergroup,0.199,1,Attitude,0.459,1,Attitude,0.210
14,Brockmyer & Oleson (2004),1,1,58,1,Other intergroup,0.071,1,Attitude,0.185,2,Attitude,0.003
15,Brunel et al. (2004),1,1,50,2,Consumer,0.533,2,Belief,0.637,1,Attitude,0.504
16,Brunstein & Schmitt (2004),1,1,44,1,Personality,0.498,1,Self,0.170,1,Self,0.108
17,Brunstein & Schmitt (2004),1,2,44,1,Personality,0.009,1,Self,0.079,1,Self,0.028
18,Carney (2006),1,1,29,19,Race (Bl/Wh),0.256,1,Attitude,0.007,1,Attitude,0.180
19,Carney (2006),1,2,33,19,Race (Bl/Wh),0.058,1,Attitude,0.004,1,Attitude,0.160
20,Carney et al. (2006),1,1,21,2,Race (Bl/Wh),0.266,1,Attitude,0.202,1,Attitude,0.269
21,Carpenter (2000),1,1,125,1,Gender/sex,0.241,2,Att/belief,0.690,1,Attitude,0.459
22,Conner & Barrett (2005),1,1,124,29,Personality,0.102,1,Self,0.255,1,Self,0.230
23,Conner & Barrett (2005),2,2,84,13,Personality,0.086,1,Self,0.320,1,Self,0.001
24,Cunningham et al. (2004),1,1,13,1,Race (Bl/Wh),0.790,1,Attitude,0.508,1,Attitude,0.004
25,Czopp et al. (2004),1,1,132,3,Relationships,0.161,1,Attitude,0.218,1,Attitude,0.250
26,Dal Cin et al. (2007),1,1,52,1,Drugs/tobacco,0.461,1,Self,,,
27,Dasgupta & Rivera (2006),1,1,82,1,Gender/sex,0.060,1,Attitude,,,
28,Dasgupta & Rivera (2006),2,1,67,1,Gender/sex,0.040,1,Attitude,,,
29,DeSteno et al. (2006),1,1,46,1,Relationships,0.550,1,Self,0.170,1,Self,0.070
30,Egloff & Schmukle (2002),3,1,62,6,Clinical,0.133,1,Self,0.093,1,Self,0.060
31,Egloff & Schmukle (2002),4,2,33,7,Clinical,0.201,1,Self,0.129,1,Self,0.250
32,Ellwart et al. (2006),1,1,48,3,Clinical,0.205,1,Attitude,0.677,2,Attitude,0.220
