comparison_id,study,experiment,emotion,strategy_code,control_code,strategy_family,gross_family,dln_stage,n_exp,n_ctrl,n_total,d_experiential,d_behavioral,d_physiological,d_composite,n_outcomes,se_d,vi
1,Arch&Craske(2006),1,negative_affect,D4,Cont1,distraction,attentional_deployment,linear,20.0,20.0,40.0,0.51,0.0,,0.255,2,0.3175,0.100813
2,Arch&Craske(2006),1,negative_affect,D4,Cont3,distraction,attentional_deployment,linear,20.0,20.0,40.0,0.73,0.0,,0.365,2,0.3188,0.101665
3,Ayduk&Kross(2008),1,anger,R3,C1,reappraisal,cognitive_change,network,39.0,42.0,81.0,0.74,0.66,,0.7,2,0.2291,0.052475
4,Ayduketal.(2002),1,negative_affect,R3,Cont1,reappraisal,cognitive_change,network,88.0,100.0,188.0,0.44,,,0.44,1,0.1479,0.021879
5,Ayduketal.(2002),1,negative_affect,C1,Cont1,concentration,attentional_deployment,dot,85.0,100.0,185.0,0.02,,,0.02,1,0.1475,0.021766
6,Banksetal.(2007),1,negative_affect,R2,Cont5,reappraisal,cognitive_change,network,14.0,,14.0,1.83,,,1.83,1,0.5123,0.262461
7,Bates(2007),1,negative_affect,S4,Cont1,suppression,response_modulation,linear,19.0,20.0,39.0,-0.16,,,-0.16,1,0.3209,0.10296
8,Bates(2007),1,negative_affect,D2,Cont1,distraction,attentional_deployment,linear,19.0,20.0,39.0,-0.2,,,-0.2,1,0.3212,0.103144
9,Bates(2007),1,negative_affect,C1,Cont1,concentration,attentional_deployment,dot,19.0,20.0,39.0,-0.31,,,-0.31,1,0.3223,0.103864
10,Baumeisteretal.(1998),3,mixed,S4,Cont5,suppression,response_modulation,linear,15.0,15.0,30.0,0.0,,,0.0,1,0.3651,0.133333
11,Beauregardetal.(2001),1,sexual_arousal,R3,Cont4,reappraisal,cognitive_change,network,10.0,,10.0,1.83,,,1.83,1,0.6062,0.367445
12,Beevers&Meyer(2008),1,negative_affect,S3,Cont1,suppression,response_modulation,linear,16.0,16.0,32.0,0.0,,,0.0,1,0.3536,0.125
13,Beevers&Scott(2001),1,mixed,S3,Cont1,suppression,response_modulation,linear,79.0,79.0,158.0,-0.34,,,-0.34,1,0.1603,0.025682
14,Blackhart&Kline(2005),1,sadness,D4,C1,distraction,attentional_deployment,linear,51.0,40.0,91.0,0.1,,,0.1,1,0.2113,0.044663
15,Blagden&Craske(1996),1,anxiety,D4,C3,distraction,attentional_deployment,linear,12.0,10.0,22.0,0.8,,,0.8,1,0.4448,0.197879
16,Bonannoetal.(2004),1,mixed,S1,Cont4,suppression,response_modulation,linear,101.0,,101.0,0.0,1.36,,0.68,2,0.1486,0.022091
17,Bonannoetal.(2004),1,mixed,S1,Cont3,suppression,response_modulation,linear,101.0,,101.0,0.0,2.59,,1.295,2,0.1676,0.028104
18,Borton(2002),2,negative_affect,S3,Cont1,suppression,response_modulation,linear,27.0,25.0,52.0,-0.3,,,-0.3,1,0.2791,0.077902
19,Borton(2002),2,negative_affect,D1,Cont1,distraction,attentional_deployment,linear,27.0,25.0,52.0,0.21,,,0.21,1,0.2783,0.077461
20,Borton(2002),2,negative_affect,C1,Cont1,concentration,attentional_deployment,dot,24.0,25.0,49.0,-0.35,,,-0.35,1,0.288,0.082917
21,Borton&Casey(2006),1,negative_affect,S3,Cont1,suppression,response_modulation,linear,25.0,23.0,48.0,-0.54,,,-0.54,1,0.2941,0.086516
22,Bortonetal.(2005),1,negative_affect,S3,Cont1,suppression,response_modulation,linear,30.0,31.0,61.0,-0.44,,,-0.44,1,0.2592,0.067178
23,Broderick(2005),1,sadness,D4,C2,distraction,attentional_deployment,linear,61.0,55.0,116.0,0.67,,,0.67,1,0.1911,0.03651
24,Broderick(2005),1,sadness,R1,D4,reappraisal,cognitive_change,network,61.0,61.0,122.0,0.29,,,0.29,1,0.182,0.033132
25,Broderick(2005),1,sadness,R1,C2,reappraisal,cognitive_change,network,61.0,55.0,116.0,0.92,,,0.92,1,0.1955,0.038224
26,Bucketal.(2009),1,anxiety,R2,Cont1,reappraisal,cognitive_change,network,31.0,30.0,61.0,0.21,,,0.21,1,0.2568,0.065953
27,Bucketal.(2009),1,anxiety,D3,Cont1,distraction,attentional_deployment,linear,29.0,30.0,59.0,0.04,,,0.04,1,0.2604,0.06783
