analysis,model,k,n_params,tau2,I2,Q
icc,A_baseline,184,1,0.01668152366870933,0.653667587959614,528.3940908731935
icc,B_3level,184,3,0.01174407580602984,0.5459730877984509,398.6547826478873
icc,C_4level,184,4,0.011189798848887518,0.5353656235592854,387.4013829516276
icc,D_4level_cov,184,6,0.008521636525071291,0.35816772556094245,277.3310210297024
ecc,A_baseline,156,1,0.09399272715302824,0.9114875659816777,1751.1663950842722
ecc,B_3level,156,3,0.08124704609543855,0.8761500907704006,1235.3662667314568
ecc,C_4level,156,4,0.07047974899910255,0.8586722212891671,1075.513967505307
ecc,D_4level_cov,156,6,0.06669425319979816,0.8215456257096124,840.5509845105532
disc,A_baseline,156,1,0.046920314067287056,0.6553758328630913,449.7653234470443
disc,B_3level,156,3,0.04216208030081641,0.5940165684880091,376.8626700606649
disc,C_4level,156,4,0.034055333593631755,0.5362319646772801,327.7500569745574
disc,D_4level_cov,156,6,0.03394379343401525,0.5232178864007719,314.60911750159846
