analysis,r_within,k,tau2,parameter,estimate,se,ci_lo,ci_hi
sensitivity,0.0,98,0.406,Intercept,0.2507,0.4165,-0.5762,1.0775
sensitivity,0.0,98,0.406,stage[linear],-0.7506,0.4279,-1.6002,0.0989
sensitivity,0.0,98,0.406,stage[network],-0.0293,0.4354,-0.8938,0.8351
sensitivity,0.0,98,0.406,mean[dot],0.2507,0.0,0.0,0.0
sensitivity,0.0,98,0.406,mean[linear],-0.5,0.0,0.0,0.0
sensitivity,0.0,98,0.406,mean[network],0.2213,0.0,0.0,0.0
sensitivity,0.3,98,0.459,Intercept,0.2634,0.4082,-0.547,1.0738
sensitivity,0.3,98,0.459,stage[linear],-0.758,0.4201,-1.5919,0.076
sensitivity,0.3,98,0.459,stage[network],-0.0359,0.4278,-0.8853,0.8135
sensitivity,0.3,98,0.459,mean[dot],0.2634,0.0,0.0,0.0
sensitivity,0.3,98,0.459,mean[linear],-0.4946,0.0,0.0,0.0
sensitivity,0.3,98,0.459,mean[network],0.2275,0.0,0.0,0.0
primary,0.5,98,0.4968,Intercept,0.2728,0.4024,-0.5261,1.0718
primary,0.5,98,0.4968,stage[linear],-0.7636,0.4146,-1.5867,0.0594
primary,0.5,98,0.4968,stage[network],-0.0412,0.4226,-0.8802,0.7977
primary,0.5,98,0.4968,mean[dot],0.2728,0.0,0.0,0.0
primary,0.5,98,0.4968,mean[linear],-0.4908,0.0,0.0,0.0
primary,0.5,98,0.4968,mean[network],0.2316,0.0,0.0,0.0
sensitivity,0.7,98,0.5363,Intercept,0.2831,0.3964,-0.504,1.0701
sensitivity,0.7,98,0.5363,stage[linear],-0.7699,0.4089,-1.5816,0.0418
sensitivity,0.7,98,0.5363,stage[network],-0.0474,0.4171,-0.8755,0.7806
sensitivity,0.7,98,0.5363,mean[dot],0.2831,0.0,0.0,0.0
sensitivity,0.7,98,0.5363,mean[linear],-0.4868,0.0,0.0,0.0
sensitivity,0.7,98,0.5363,mean[network],0.2357,0.0,0.0,0.0
